Date,Open,High,Low,Close,Volume,Ticker
20150417,25,25,25,25,0,BBOZ
20150420,25.58,25.58,25.5,25.5,140,BBOZ
20150421,24.870001,25.190001,24.870001,25.07,11290,BBOZ
20150422,25.07,25.52,25,25.469999,13864,BBOZ
20150423,25.5,25.5,25.370001,25.370001,9594,BBOZ
20150424,24.99,24.99,24.459999,24.48,14230,BBOZ
20150427,24.209999,24.209999,23.9,23.950001,23610,BBOZ
20150428,24.09,24.18,23.950001,24.18,16270,BBOZ
20150429,24.57,25.389999,24.57,25.389999,23900,BBOZ
20150430,25.870001,26.24,25.75,25.950001,14827,BBOZ
20150501,25.91,26.110001,25.6,25.690001,11235,BBOZ
20150504,25.75,25.889999,25.42,25.540001,50093,BBOZ
20150505,25.540001,25.540001,25.540001,25.540001,0,BBOZ
20150506,26.33,26.860001,26.33,26.84,30678,BBOZ
20150507,27.85,27.99,27.4,27.59,32798,BBOZ
20150508,27.040001,27.59,27.040001,27.59,13296,BBOZ
20150511,26.83,27.77,26.83,27.75,18968,BBOZ
20150512,27.26,27.33,26.870001,26.9,5934,BBOZ
20150513,26.809999,26.860001,26.42,26.43,8214,BBOZ
20150514,26.790001,26.790001,26.68,26.74,3866,BBOZ
20150515,25.959999,26.370001,25.93,26.370001,8942,BBOZ
20150518,25.950001,26.889999,25.92,26.889999,4921,BBOZ
20150519,27.059999,27.5,26.950001,26.950001,2869,BBOZ
20150520,27.559999,27.82,27.42,27.48,11067,BBOZ
20150521,27.280001,27.280001,26.9,26.9,4195,BBOZ
20150522,26.559999,26.91,26.540001,26.879999,11652,BBOZ
20150525,26.74,26.74,26.08,26.370001,39651,BBOZ
20150526,26,26,25.58,25.77,13219,BBOZ
20150527,26.059999,26.26,25.91,26.219999,13981,BBOZ
20150528,25.83,26.58,25.83,26.15,7578,BBOZ
20150529,25.860001,25.860001,25.290001,25.48,35078,BBOZ
20150601,25.99,26.610001,25.91,26.1,10247,BBOZ
20150602,28.5,28.5,26.6,27,10025,BBOZ
20150603,27.469999,27.85,27.469999,27.82,61559,BBOZ
20150604,28.1,28.66,28.040001,28.66,28467,BBOZ
20150605,28.780001,28.98,28.52,28.780001,28119,BBOZ
20150609,28.76,28.879999,28.620001,28.66,1702,BBOZ
20150610,29.07,29.219999,28.950001,29.049999,7020,BBOZ
20150611,28.559999,28.559999,28.110001,28.24,14086,BBOZ
20150612,28.190001,28.34,28.190001,28.34,2460,BBOZ
20150615,28.76,28.83,28.41,28.41,13246,BBOZ
20150616,28.32,28.32,27.93,28.190001,10603,BBOZ
20150617,27.969999,27.969999,27.610001,27.610001,13410,BBOZ
20150618,27.870001,28.73,25.85,28.530001,7719,BBOZ
20150619,28.059999,28.059999,27.51,27.76,11162,BBOZ
20150622,27.690001,28,27.5,27.5,33036,BBOZ
20150623,26.799999,26.870001,26.65,26.75,43268,BBOZ
20150624,26.51,26.780001,26.51,26.530001,4690,BBOZ
20150625,26.959999,27.15,26.959999,27.129999,2446,BBOZ
20150626,27.9,28.459999,27.9,28.23,78627,BBOZ
