Date,Open,High,Low,Close,Volume,Ticker
20150824,15.17,15.17,15.17,15.17,0,BBUS
20150825,15.17,15.17,15.17,15.17,0,BBUS
20150826,15.63,15.63,15.17,15.17,1600,BBUS
20150827,14.14,14.25,14.09,14.25,32609,BBUS
20150828,13.37,13.55,13.3,13.5,27855,BBUS
20150831,13.75,13.86,13.67,13.7,42151,BBUS
20150901,14.27,14.31,14.25,14.26,10078,BBUS
20150902,14.57,14.6,14.25,14.3,28379,BBUS
20150903,14,14.13,14,14.1,11418,BBUS
20150904,14.28,14.41,14.21,14.37,7335,BBUS
20150907,14.52,14.56,14.16,14.25,28513,BBUS
20150908,14.25,14.25,14.21,14.25,12035,BBUS
20150909,13.71,13.72,13.4,13.4,44059,BBUS
20150910,14.28,14.28,14,14,16653,BBUS
20150911,13.95,13.99,13.9,13.97,6318,BBUS
20150914,13.66,13.8,13.64,13.8,16154,BBUS
20150915,13.92,13.94,13.88,13.94,17653,BBUS
20150916,13.7,13.78,13.66,13.68,115858,BBUS
20150917,13.24,13.28,13.2,13.2,26902,BBUS
20150918,13.43,13.43,13.31,13.31,12504,BBUS
20150921,13.86,14,13.84,13.92,46216,BBUS
20150922,13.61,13.68,13.61,13.67,15743,BBUS
20150923,14.22,14.52,14.17,14.48,60248,BBUS
20150924,14.22,14.39,14.17,14.33,9520,BBUS
20150925,14.3,14.4,14.25,14.25,33940,BBUS
20150928,14.56,14.58,14.43,14.43,20949,BBUS
20150929,15.15,15.32,15.15,15.26,37059,BBUS
20150930,15.24,15.24,14.96,14.96,5196,BBUS
20151001,14.67,14.67,14.26,14.26,74943,BBUS
20151002,14.44,14.47,14.4,14.47,8552,BBUS
20151005,14.1,14.1,13.93,13.93,10872,BBUS
20151006,13.43,13.55,13.43,13.49,29727,BBUS
20151007,13.58,13.64,13.48,13.48,8166,BBUS
20151008,13.21,13.42,13.21,13.42,20480,BBUS
20151009,12.94,12.98,12.9,12.91,9882,BBUS
20151012,12.95,12.96,12.93,12.94,29975,BBUS
20151013,12.85,12.91,12.85,12.89,12081,BBUS
20151014,13.08,13.15,13.07,13.09,23332,BBUS
20151015,13.14,13.18,13.03,13.03,7070,BBUS
20151016,12.7,12.75,12.66,12.7,7611,BBUS
20151019,12.59,12.72,12.59,12.64,6798,BBUS
20151020,12.62,12.64,12.59,12.61,8984,BBUS
20151021,12.65,12.65,12.65,12.65,400,BBUS
20151022,12.79,12.8,12.71,12.8,4120,BBUS
20151023,12.11,12.15,12.08,12.15,12486,BBUS
20151026,12.02,12.05,11.99,12.01,8600,BBUS
20151027,12.06,12.11,12.06,12.11,5885,BBUS
20151028,12.1,12.1,12.02,12.02,4680,BBUS
20151029,11.79,11.83,11.75,11.83,18301,BBUS
20151030,11.76,11.76,11.56,11.56,23023,BBUS
20151102,11.88,11.92,11.88,11.9,11178,BBUS
20151103,11.6,11.6,11.55,11.55,6400,BBUS
20151104,11.46,11.48,11.4,11.41,34688,BBUS
20151105,11.54,11.59,11.54,11.55,15404,BBUS
20151106,11.6,11.6,11.58,11.6,5404,BBUS
20151109,11.6,11.6,11.54,11.57,23970,BBUS
20151110,11.88,11.88,11.79,11.79,33320,BBUS
20151111,11.8,11.8,11.72,11.72,25605,BBUS
20151112,11.9,11.9,11.81,11.81,15340,BBUS
20151113,12.23,12.29,12.19,12.26,255521,BBUS
20151116,12.72,12.75,12.61,12.67,47902,BBUS
20151117,12.17,12.18,12.13,12.13,13692,BBUS
20151118,12.13,12.15,12.12,12.15,4760,BBUS
20151119,11.79,11.79,11.7,11.7,12184,BBUS
20151120,11.77,11.8,11.75,11.78,4968,BBUS
20151123,11.62,11.65,11.62,11.63,8100,BBUS
20151124,11.71,11.71,11.68,11.68,19372,BBUS
20151125,11.67,11.72,11.67,11.72,2592,BBUS
20151126,11.59,11.59,11.59,11.59,1478,BBUS
20151127,11.54,11.62,11.54,11.61,9922,BBUS
20151130,11.62,11.69,11.62,11.68,16900,BBUS
20151201,11.63,11.63,11.6,11.6,8600,BBUS
20151202,11.52,11.53,11.5,11.51,7580,BBUS
20151203,11.76,11.76,11.76,11.76,1000,BBUS
20151204,12.06,12.07,12.03,12.03,7572,BBUS
20151207,11.63,11.67,11.62,11.67,10883,BBUS
20151208,11.72,11.87,11.72,11.86,11000,BBUS
20151209,11.98,12.01,11.93,11.93,26775,BBUS
20151210,12.16,12.17,12.1,12.13,14875,BBUS
20151211,12.13,12.13,12.06,12.1,11745,BBUS
20151214,12.6,12.63,12.52,12.52,40390,BBUS
20151215,12.48,12.48,12.42,12.47,54433,BBUS
20151216,12.17,12.18,12.09,12.1,15284,BBUS
20151217,11.9,11.93,11.85,11.93,27940,BBUS
20151218,12.33,12.45,12.33,12.42,12865,BBUS
20151221,12.64,12.69,12.63,12.64,28499,BBUS
20151222,12.4,12.42,12.4,12.42,3300,BBUS
20151223,12.17,12.2,12.15,12.15,11177,BBUS
20151224,11.89,11.89,11.85,11.89,20348,BBUS
20151228,null,null,null,null,null,BBUS
20151229,11.89,11.89,11.89,11.89,684,BBUS
20151230,11.57,11.66,11.57,11.6,9657,BBUS
20151231,11.81,11.87,11.81,11.86,5750,BBUS
20160104,12.15,12.38,12.15,12.38,7701,BBUS
20160105,12.5,12.5,12.43,12.5,37645,BBUS
20160106,12.44,12.78,12.44,12.71,24817,BBUS
20160107,12.86,13.23,12.8,13.18,85056,BBUS
20160108,13.59,13.7,13.29,13.36,92104,BBUS
20160111,13.99,14.24,13.98,13.98,88362,BBUS
20160112,13.9,14.08,13.88,14.08,24042,BBUS
20160113,13.76,13.77,13.43,13.43,30236,BBUS
20160114,14.45,14.52,14.4,14.48,49540,BBUS
20160115,13.9,14.22,13.89,14.2,11983,BBUS
20160118,14.75,14.82,14.49,14.55,57469,BBUS
20160119,14.66,14.66,14.38,14.41,21607,BBUS
20160120,14.62,15.16,14.62,15.11,52910,BBUS
20160121,14.95,14.95,14.62,14.8,32932,BBUS
20160122,14.86,14.86,14.68,14.68,16253,BBUS
20160125,14.2,14.25,14.15,14.15,32858,BBUS
20160127,14.52,14.52,14.38,14.51,22353,BBUS
20160128,14.96,14.96,14.37,14.51,40435,BBUS
20160129,14.51,14.56,14.19,14.37,55191,BBUS
20160201,13.71,13.81,13.64,13.76,47127,BBUS
20160202,13.77,13.89,13.75,13.89,12688,BBUS
20160203,14.25,14.41,14.23,14.32,203679,BBUS
20160204,14.07,14.08,13.86,13.9,27542,BBUS
20160205,14.16,14.16,14.07,14.13,14284,BBUS
20160208,14.3,14.6,14.3,14.57,30660,BBUS
20160209,15.03,15.28,15.03,15.24,90571,BBUS
20160210,15.01,15.2,14.92,15.15,79857,BBUS
20160211,15.15,15.31,15.08,15.2,63045,BBUS
20160212,15.37,15.45,15.26,15.31,63457,BBUS
20160215,14.71,14.72,14.49,14.49,176781,BBUS
20160216,14.5,14.5,14.15,14.17,62091,BBUS
20160217,14.29,14.32,14.07,14.31,29830,BBUS
20160218,13.57,13.59,13.52,13.55,55128,BBUS
20160219,13.69,13.78,13.69,13.74,22054,BBUS
20160222,13.84,13.84,13.55,13.55,27600,BBUS
20160223,13.4,13.56,13.37,13.5,55070,BBUS
20160224,13.76,13.83,13.7,13.8,49508,BBUS
20160225,13.45,13.54,13.4,13.49,33856,BBUS
20160226,13.19,13.21,13.12,13.13,74678,BBUS
20160229,13.27,13.41,13.24,13.41,40742,BBUS
20160301,13.55,13.61,13.45,13.55,30744,BBUS
20160302,12.76,12.77,12.64,12.65,41074,BBUS
20160303,12.64,12.7,12.59,12.59,18478,BBUS
20160304,12.54,12.54,12.5,12.52,23911,BBUS
20160307,12.48,12.53,12.45,12.47,17424,BBUS
20160308,12.5,12.55,12.48,12.48,21399,BBUS
20160309,12.65,12.7,12.64,12.66,43280,BBUS
20160310,12.55,12.55,12.51,12.51,10300,BBUS
20160311,12.67,12.69,12.38,12.38,113474,BBUS
20160314,12.07,12.15,12.07,12.13,24296,BBUS
20160315,12.11,12.2,12.07,12.17,39325,BBUS
20160316,12.13,12.15,12.08,12.12,16845,BBUS
20160317,11.98,11.98,11.84,11.92,12446,BBUS
20160318,11.76,11.79,11.71,11.76,41635,BBUS
20160321,11.69,11.76,11.69,11.71,31931,BBUS
20160322,11.61,11.65,11.58,11.6,42308,BBUS
20160323,11.6,11.65,11.6,11.63,47741,BBUS
20160324,11.8,11.85,11.77,11.84,65387,BBUS
20160329,11.76,11.8,11.74,11.76,102560,BBUS
20160330,11.54,11.54,11.47,11.53,79830,BBUS
20160331,11.41,11.5,11.41,11.47,40115,BBUS
20160401,11.47,11.57,11.45,11.55,72524,BBUS
20160404,11.37,11.37,11.3,11.31,55244,BBUS
20160405,11.47,11.55,11.46,11.53,259066,BBUS
20160406,11.63,11.64,11.52,11.58,616235,BBUS
20160407,11.43,11.45,11.38,11.39,102961,BBUS
20160408,11.75,11.75,11.59,11.59,87949,BBUS
20160411,11.64,11.7,11.6,11.64,83149,BBUS
20160412,11.71,11.74,11.66,11.66,141669,BBUS
20160413,11.42,11.42,11.34,11.36,172847,BBUS
20160414,11.16,11.2,11.14,11.17,84088,BBUS
20160415,11.16,11.17,11.11,11.16,76281,BBUS
20160418,11.32,11.36,11.32,11.36,135139,BBUS
20160419,11.02,11.03,10.99,10.99,137693,BBUS
20160420,10.98,11.04,10.95,11.04,59141,BBUS
20160421,10.9,10.92,10.8,10.8,44691,BBUS
20160422,11.1,11.1,11.02,11.02,45409,BBUS
20160426,11.06,11.08,11.02,11.05,44425,BBUS
20160427,11.06,11.08,11.05,11.07,95251,BBUS
20160428,10.94,11.13,10.92,11.12,86218,BBUS
20160429,11.18,11.25,11.15,11.19,48840,BBUS
20160502,11.4,11.4,11.36,11.38,46978,BBUS
20160503,11.19,11.2,11.15,11.18,26776,BBUS
20160504,11.35,11.46,11,11.43,43564,BBUS
20160505,11.52,11.52,11.42,11.44,40934,BBUS
20160506,11.56,11.61,11.53,11.6,40781,BBUS
20160509,11.4,11.43,11.37,11.42,12718,BBUS
20160510,11.44,11.47,11.34,11.34,6858,BBUS
20160511,11.11,11.17,11.09,11.17,31785,BBUS
20160512,11.36,11.37,11.3,11.33,29239,BBUS
20160513,11.33,11.46,11.33,11.46,37969,BBUS
20160516,11.6,11.61,11.49,11.55,65323,BBUS
20160517,11.34,11.34,11.29,11.31,36745,BBUS
20160518,11.55,11.61,11.54,11.57,128525,BBUS
20160519,11.56,11.68,11.56,11.64,116879,BBUS
20160520,11.65,11.65,11.54,11.56,162463,BBUS
20160523,11.48,11.52,11.43,11.48,100129,BBUS
20160524,11.54,11.56,11.51,11.56,15570,BBUS
20160525,11.11,11.12,11.06,11.09,63057,BBUS
20160526,10.99,11.03,10.99,10.99,120020,BBUS
20160527,10.93,10.94,10.91,10.94,27301,BBUS
20160530,10.77,10.79,10.73,10.75,37205,BBUS
20160531,10.78,10.78,10.75,10.78,11078,BBUS
20160601,10.85,10.87,10.81,10.87,64396,BBUS
20160602,10.83,10.88,10.83,10.88,28735,BBUS
20160603,10.74,10.76,10.73,10.75,233023,BBUS
20160606,10.85,10.86,10.82,10.84,41379,BBUS
20160607,10.73,10.73,10.69,10.71,80654,BBUS
20160608,10.7,10.73,10.7,10.7,22595,BBUS
20160609,10.63,10.65,10.61,10.63,28774,BBUS
20160610,10.68,10.69,10.67,10.69,45799,BBUS
20160614,11.2,11.2,11.04,11.07,111245,BBUS
20160615,11.18,11.18,11.02,11.13,145291,BBUS
20160616,11.13,11.23,11.11,11.22,59603,BBUS
20160617,11.03,11.03,11,11.02,153943,BBUS
20160620,11,11,10.88,10.88,71629,BBUS
20160621,10.98,10.99,10.91,10.94,65875,BBUS
20160622,10.99,10.99,10.9,10.9,80359,BBUS
20160623,10.85,10.87,10.82,10.85,14832,BBUS
20160624,10.75,11.9,10.75,11.78,513689,BBUS
20160627,11.75,11.81,11.66,11.68,239202,BBUS
20160628,12,12.02,11.76,11.8,310259,BBUS
20160629,11.4,11.55,11.4,11.43,69060,BBUS
20160630,10.95,11.05,10.93,11.05,165250,BBUS
20160701,11.03,11.03,10.67,10.7,201686,BBUS
20160704,10.61,10.61,10.5,10.5,104299,BBUS
20160705,10.6,10.66,10.58,10.62,61831,BBUS
20160706,10.78,10.95,10.78,10.82,80342,BBUS
20160707,10.65,10.65,10.61,10.62,54963,BBUS
20160708,10.63,10.69,10.61,10.66,59445,BBUS
20160711,10.25,10.25,10.1,10.16,266194,BBUS
20160712,10.12,10.13,10.09,10.13,38739,BBUS
20160713,9.98,10,9.96,10,98968,BBUS
20160714,9.97,10,9.95,9.95,189393,BBUS
20160715,9.89,9.91,9.82,9.87,119463,BBUS
20160718,9.86,9.86,9.82,9.82,32650,BBUS
20160719,9.81,9.85,9.8,9.83,120795,BBUS
20160720,9.84,9.85,9.82,9.82,25900,BBUS
20160721,9.72,9.72,9.7,9.72,117409,BBUS
20160722,9.81,9.84,9.81,9.82,37015,BBUS
20160725,9.72,9.73,9.65,9.71,81882,BBUS
20160726,9.8,9.82,9.73,9.76,57583,BBUS
20160727,9.72,9.74,9.7,9.72,31668,BBUS
20160728,9.75,9.77,9.74,9.75,10073,BBUS
20160729,9.75,9.8,9.73,9.75,75040,BBUS
20160801,9.67,9.67,9.59,9.62,36273,BBUS
20160802,9.71,9.72,9.69,9.71,19892,BBUS
20160803,9.89,9.91,9.87,9.9,26907,BBUS
20160804,9.89,9.89,9.8,9.8,22027,BBUS
20160805,9.79,9.79,9.76,9.78,13002,BBUS
20160808,9.64,9.64,9.57,9.58,85901,BBUS
