Date,Open,High,Low,Close,Volume,Ticker
6/10/2016,73.919998,74.209999,73.660004,74.160004,2179318,CBA
7/10/2016,74.300003,74.540001,74,74.379997,2420408,CBA
10/10/2016,74.550003,74.82,74.480003,74.620003,3195090,CBA
11/10/2016,74.870003,75.129997,74.529999,74.610001,2358190,CBA
12/10/2016,74.160004,75,74,74.989998,2726864,CBA
13/10/2016,74.599998,74.815002,74.339996,74.529999,2513524,CBA
14/10/2016,74.599998,74.790001,74.279999,74.580002,2258314,CBA
17/10/2016,74.580002,74.980003,74.360001,74.370003,2544333,CBA
18/10/2016,74.400002,74.669998,73.809998,74.589996,2662749,CBA
19/10/2016,74.68,74.964996,74.419998,74.739998,2343519,CBA
20/10/2016,74.860001,75.089996,74.459999,74.589996,2268146,CBA
21/10/2016,74.889999,74.970001,74.389999,74.900002,2682010,CBA
24/10/2016,74.800003,74.830002,74.110001,74.669998,1762900,CBA
25/10/2016,74.889999,75.309998,74.730003,75.230003,2230946,CBA
26/10/2016,74.940002,74.940002,73.790001,74.190002,3041064,CBA
27/10/2016,74.300003,74.5,72.959999,72.989998,2904062,CBA
28/10/2016,72.93,73.029999,72.300003,72.75,3877835,CBA
31/10/2016,72.5,73.639999,72.419998,73.389999,2401480,CBA
1/11/2016,72.769997,73.220001,72.330002,72.760002,1849870,CBA
2/11/2016,72.139999,72.330002,71.519997,72.169998,2477399,CBA
3/11/2016,71.5,72.25,71.419998,71.610001,2329571,CBA
4/11/2016,71.260002,71.690002,70.855003,70.989998,2421960,CBA
7/11/2016,71.660004,72.720001,71.260002,72.529999,2374165,CBA
8/11/2016,72.800003,72.809998,71.309998,72.07,2526134,CBA
9/11/2016,72.400002,73.830002,69.639999,70.889999,5019098,CBA
10/11/2016,72.769997,73.260002,72.675003,73.260002,3332425,CBA
11/11/2016,73.639999,75.779999,73.610001,75.779999,6081494,CBA
14/11/2016,75.800003,76.18,75,76.18,3449889,CBA
15/11/2016,75.910004,76.529999,75.639999,76.43,3319291,CBA
16/11/2016,76.75,77.230003,76.5,76.889999,3244508,CBA
17/11/2016,76.330002,76.849998,75.93,76.650002,3214291,CBA
18/11/2016,76.910004,77.279999,76.620003,76.860001,3018377,CBA
21/11/2016,76.790001,77.209999,76.260002,76.870003,1922951,CBA
22/11/2016,77.300003,77.739998,77.019997,77.389999,2581461,CBA
23/11/2016,77.660004,78.529999,77.589996,78.419998,3158139,CBA
24/11/2016,78.800003,79.050003,78.370003,78.43,2365516,CBA
25/11/2016,78.5,78.57,77.93,78.169998,5692079,CBA
28/11/2016,78.190002,78.25,77.290001,77.290001,1692415,CBA
29/11/2016,76.910004,78.410004,76.860001,77.760002,3441918,CBA
30/11/2016,77.790001,78.650002,77.769997,78.650002,5108199,CBA
1/12/2016,78.800003,79.529999,78.550003,79.529999,3388408,CBA
2/12/2016,79.290001,79.489998,78.599998,78.599998,2369831,CBA
5/12/2016,78.360001,78.449997,77.370003,77.68,1973841,CBA
6/12/2016,78.300003,78.870003,78.010002,78.010002,2213262,CBA
7/12/2016,78.889999,79.32,78.5,79.300003,2427876,CBA
8/12/2016,79.879997,80.080002,79.669998,79.730003,2708344,CBA
9/12/2016,79.839996,80.919998,79.735001,80.669998,3383119,CBA
12/12/2016,80.669998,81.360001,80.480003,80.919998,2327789,CBA
13/12/2016,80.5,80.739998,80.260002,80.379997,2324519,CBA
14/12/2016,81.099998,81.349998,80.760002,81.18,2872286,CBA
15/12/2016,81.18,81.389999,80.169998,80.639999,4138194,CBA
16/12/2016,80.940002,81.230003,80.230003,81.059998,4286670,CBA
19/12/2016,81.050003,81.639999,80.75,81.43,2525178,CBA
20/12/2016,81.75,82.599998,81.610001,82.269997,2530423,CBA
21/12/2016,82.489998,82.75,82.080002,82.089996,2089953,CBA
22/12/2016,82.110001,82.690002,82,82.690002,2482097,CBA
23/12/2016,82.849998,82.989998,82.449997,82.5,7066628,CBA
28/12/2016,82.949997,83.480003,82.785004,83.309998,1962525,CBA
29/12/2016,83.190002,83.5,82.510002,83.5,1437162,CBA
30/12/2016,83.080002,83.175003,82.379997,82.410004,1468794,CBA
3/01/2017,82.400002,83.160004,82.309998,82.970001,1967692,CBA
4/01/2017,83.5,83.760002,83.199997,83.610001,2086820,CBA
5/01/2017,83.989998,84.120003,83.589996,83.849998,2049692,CBA
6/01/2017,83.980003,84.18,83.620003,84.129997,2648142,CBA
9/01/2017,84.279999,85.650002,84.175003,85.260002,2742640,CBA
10/01/2017,84.989998,85.160004,84.43,84.82,2345467,CBA
11/01/2017,84.699997,85.209999,84.57,85,2342921,CBA
12/01/2017,85,85.589996,84.699997,85.029999,2215463,CBA
13/01/2017,85.040001,85.040001,83.339996,83.860001,2522301,CBA
16/01/2017,84.290001,84.410004,83.75,84.089996,1338272,CBA
17/01/2017,83.5,83.620003,83.110001,83.349998,2778153,CBA
18/01/2017,83,83.099998,82.160004,82.660004,2758586,CBA
19/01/2017,82.940002,83.199997,82.199997,82.669998,1861604,CBA
20/01/2017,81.949997,82.080002,81.309998,81.580002,2537711,CBA
23/01/2017,82.099998,82.650002,81.160004,81.470001,2956811,CBA
24/01/2017,81.489998,82.014999,81.300003,81.769997,2697276,CBA
25/01/2017,82.5,82.68,82.080002,82.230003,6214145,CBA
27/01/2017,82.480003,83.419998,82.349998,82.980003,1928520,CBA
30/01/2017,82.57,82.68,81.779999,82.190002,1591614,CBA
31/01/2017,81.900002,82.139999,81.300003,81.660004,3193325,CBA
1/02/2017,81.660004,82.160004,81.120003,82.019997,1807741,CBA
2/02/2017,82.25,82.440002,81.68,82.010002,2300935,CBA
3/02/2017,82.010002,82.330002,81.519997,81.68,1758749,CBA
6/02/2017,82.449997,82.910004,81.860001,81.910004,2495052,CBA
7/02/2017,81.849998,81.940002,81.050003,81.510002,2538039,CBA
8/02/2017,81.769997,82.540001,81.620003,82.349998,2112168,CBA
9/02/2017,82.32,82.510002,81.610001,81.93,2526443,CBA
10/02/2017,82.639999,82.93,82.300003,82.900002,2276343,CBA
13/02/2017,83,83.199997,82.599998,83.150002,1688054,CBA
14/02/2017,83.480003,83.650002,82.529999,82.629997,2153710,CBA
15/02/2017,83.599998,84.830002,83.25,84.529999,4017264,CBA
16/02/2017,85.150002,85.150002,84.419998,85.080002,3781716,CBA
17/02/2017,85.199997,85.5,85.160004,85.389999,3780383,CBA
20/02/2017,85.400002,85.980003,85.209999,85.910004,2384410,CBA
21/02/2017,85.959999,86.089996,85.610001,85.940002,3305349,CBA
22/02/2017,83.82,83.900002,83.330002,83.709999,7963927,CBA
23/02/2017,83.599998,83.779999,83.260002,83.480003,3228480,CBA
24/02/2017,83.209999,83.610001,82.82,83.019997,4220843,CBA
27/02/2017,82.589996,82.900002,81.949997,82.239998,3312611,CBA
28/02/2017,82.489998,83.089996,82.150002,82.32,3728828,CBA
1/03/2017,81.980003,82.809998,81.75,82.809998,2778610,CBA
2/03/2017,83.900002,84.040001,83.519997,83.860001,2440705,CBA
