Date,Open,High,Low,Close,Volume,Ticker
20090501,50,50,50,50,0,VAS
20090504,50,50,50,50,0,VAS
20090505,50.117599,50.117599,50.117599,50.117599,0,VAS
20090506,49.811798,49.811798,49.811798,49.811798,0,VAS
20090507,50.780998,50.780998,50.780998,50.780998,0,VAS
20090508,50.619999,50.799999,50.580002,50.610001,915,VAS
20090511,50.799999,50.799999,50.599998,50.630001,826,VAS
20090512,50.57,50.57,49.990002,50.299999,7032,VAS
20090513,50.380001,50.380001,49.810001,49.84,4531,VAS
20090514,48.849998,48.849998,48.279999,48.549999,1511,VAS
20090515,49,49,48.84,48.84,7527,VAS
20090518,48.720001,48.720001,48.25,48.470001,1188,VAS
20090519,48.98,49.599998,48.98,49.599998,6700,VAS
20090520,49.23,49.32,49.23,49.299999,1035,VAS
20090521,49.200001,49.23,49.200001,49.23,1100,VAS
20090522,48.720001,48.93,48.720001,48.75,2845,VAS
20090525,49,49.080002,48.450001,48.68,3060,VAS
20090526,48.75,48.75,48.439999,48.650002,1135,VAS
20090527,49.560001,49.669998,49.400002,49.400002,4460,VAS
20090528,48.799999,48.799999,48.529999,48.669998,8603,VAS
20090529,49.209999,49.529999,49.049999,49.529999,17067,VAS
20090601,49.700001,50.490002,49.470001,50.400002,10524,VAS
20090602,51,51.450001,51,51.360001,8267,VAS
20090603,51.360001,51.990002,51.360001,51.990002,3889,VAS
20090604,52.299999,52.299999,51.099998,51.220001,7999,VAS
20090605,51.639999,52.099998,51.459999,51.599998,19588,VAS
20090609,51.990002,51.990002,51.5,51.5,1749,VAS
20090610,52.040001,52.400002,52.040001,52.34,8767,VAS
20090611,52.34,52.709999,52.34,52.650002,5374,VAS
20090612,52.810001,52.970001,52.599998,52.970001,3571,VAS
20090615,53.5,53.5,52.52,52.52,5510,VAS
20090616,52.450001,52.450001,51.439999,51.529999,18540,VAS
20090617,51.549999,51.549999,50.360001,50.91,18520,VAS
20090618,50.939999,50.939999,50.52,50.52,3095,VAS
20090619,50.98,51.099998,50.700001,50.77,5190,VAS
20090622,50.799999,51.040001,50.799999,50.950001,7033,VAS
20090623,51,51,49.349998,49.57,21790,VAS
20090624,49.299999,49.619999,49.209999,49.619999,10623,VAS
20090625,49.630001,50.27,49.630001,50.27,3799,VAS
20090626,50.84,51.080002,50.700001,51.049999,4043,VAS
20090629,51.049999,51.16,50.700001,50.700001,3304,VAS
20090630,51.849998,51.849998,51.310001,51.310001,6402,VAS
20090701,50.700001,50.700001,50.200001,50.200001,7907,VAS
20090702,51,51,50.200001,50.32,7248,VAS
20090703,49.389999,49.5,49.349998,49.5,6212,VAS
20090706,49.5,49.5,48.860001,49.16,7113,VAS
20090707,48.950001,48.950001,48.849998,48.889999,2861,VAS
20090708,49,49,47.75,48.380001,6621,VAS
20090709,48.610001,48.790001,48.490002,48.75,8237,VAS
20090710,48.98,49.040001,48.700001,49.040001,4727,VAS
20090713,49.049999,49.049999,48.349998,48.349998,7002,VAS
20090714,50,50,49.150002,49.939999,4579,VAS
20090715,50.509998,50.779999,50.509998,50.720001,2107,VAS
20090716,52.18,52.18,51.689999,51.689999,8096,VAS
20090717,52.099998,52.099998,51.73,51.73,2449,VAS
20090720,53,53,52.220001,52.490002,6452,VAS
20090721,54,54,52.459999,52.459999,3649,VAS
20090722,53,53,52.5,52.709999,14489,VAS
20090723,52.639999,52.639999,52.43,52.549999,2236,VAS
20090724,53.32,53.32,52.900002,52.900002,4677,VAS
20090727,53.66,53.740002,53.66,53.68,2279,VAS
20090728,55.200001,55.200001,53.689999,53.950001,3851,VAS
20090729,54.099998,54.099998,53.75,53.75,2362,VAS
20090730,53.849998,53.959999,53.700001,53.91,3095,VAS
20090731,55.549999,55.549999,54.450001,55.029999,3518,VAS
20090803,55.09,55.34,55,55.25,15301,VAS
20090804,55.810001,56.259998,55.77,55.849998,7647,VAS
20090805,55.900002,55.970001,55.52,55.52,6989,VAS
20090806,55.299999,55.970001,55.299999,55.970001,10890,VAS
20090807,55.700001,55.73,55.48,55.48,9775,VAS
20090810,55.98,56.130001,55.57,55.73,8374,VAS
20090811,55.52,55.900002,55.52,55.900002,1734,VAS
20090812,55.900002,56.32,55.75,56.189999,10042,VAS
20090813,56.860001,57.27,56.860001,57.27,3923,VAS
20090814,58.419998,58.419998,57.790001,57.790001,8500,VAS
20090817,57.82,57.82,56.939999,56.939999,13131,VAS
20090818,59,59,56.52,56.779999,1713,VAS
20090819,57.360001,57.509998,56.779999,56.790001,9790,VAS
20090820,57.240002,57.27,56.700001,56.82,2310,VAS
20090821,57.400002,57.400002,55.380001,55.560001,7394,VAS
20090824,57.18,57.509998,57.18,57.509998,6945,VAS
20090825,57.279999,57.540001,57.09,57.299999,24506,VAS
20090826,57.540001,58.07,57.450001,58.040001,8493,VAS
20090827,58.049999,58.049999,57.580002,57.91,8346,VAS
20090828,58.27,58.400002,58.150002,58.360001,3139,VAS
20090831,59.110001,59.110001,58.360001,58.549999,6053,VAS
20090901,58.549999,58.849998,58.5,58.720001,3851,VAS
20090902,58.900002,58.900002,57.470001,58.009998,8910,VAS
20090903,57.990002,58.099998,57.580002,58.009998,6443,VAS
20090904,58.349998,58.349998,57.900002,57.900002,2678,VAS
20090907,58,58.310001,58,58.169998,3775,VAS
20090908,58.810001,59.25,58.599998,59.220001,2892,VAS
20090909,59.459999,59.549999,59,59.119999,27206,VAS
20090910,59.720001,59.740002,59.48,59.700001,4102,VAS
20090911,60,60.18,59.860001,60.119999,4155,VAS
20090914,60,60,59.209999,59.240002,19408,VAS
20090915,59.889999,59.889999,59.240002,59.240002,7057,VAS
20090916,60.41,60.84,60.380001,60.84,2792,VAS
20090917,61.529999,62.150002,61.349998,61.82,10239,VAS
