Date,Open,High,Low,Close,Volume,Ticker,
19920529,1704.59998,1704.59998,1704.59998,1704.59998,0,XJO,
19920601,1700.5,1700.5,1700.5,1700.5,0,XJO,
19920602,1702.69995,1702.69995,1702.69995,1702.69995,0,XJO,
19920603,1704.5,1704.5,1704.5,1704.5,0,XJO,
19920604,1701.90002,1701.90002,1701.90002,1701.90002,0,XJO,
19920605,1699.69995,1699.69995,1699.69995,1699.69995,0,XJO,
19920609,1699.90002,1699.90002,1699.90002,1699.90002,0,XJO,
19920610,1690.80005,1690.80005,1690.80005,1690.80005,0,XJO,
19920611,1683,1683,1683,1683,0,XJO,
19920612,1675.30005,1675.30005,1675.30005,1675.30005,0,XJO,
19920615,1670.19995,1670.19995,1670.19995,1670.19995,0,XJO,
19920616,1661.90002,1661.90002,1661.90002,1661.90002,0,XJO,
19920617,1652.40002,1652.40002,1652.40002,1652.40002,0,XJO,
19920618,1646.40002,1646.40002,1646.40002,1646.40002,0,XJO,
19920619,1655.80005,1655.80005,1655.80005,1655.80005,0,XJO,
19920622,1658.80005,1658.80005,1658.80005,1658.80005,0,XJO,
19920623,1665.19995,1665.19995,1665.19995,1665.19995,0,XJO,
19920624,1668.40002,1668.40002,1668.40002,1668.40002,0,XJO,
19920625,1665.09998,1665.09998,1665.09998,1665.09998,0,XJO,
19920626,1662.09998,1662.09998,1662.09998,1662.09998,0,XJO,
19920629,1662.80005,1662.80005,1662.80005,1662.80005,0,XJO,
19920630,1665.90002,1665.90002,1665.90002,1665.90002,472200000,XJO,
19920701,1668.40002,1668.40002,1668.40002,1668.40002,318000000,XJO,
19920702,1683,1683,1683,1683,255800000,XJO,
19920703,1684.69995,1684.69995,1684.69995,1684.69995,287400000,XJO,
19920706,1685,1685,1685,1685,103700000,XJO,
19920707,1680.90002,1680.90002,1680.90002,1680.90002,190500000,XJO,
19920708,1671.59998,1671.59998,1671.59998,1671.59998,449500000,XJO,
19920709,1661.19995,1661.19995,1661.19995,1661.19995,696000000,XJO,
19920710,1664,1664,1664,1664,642300032,XJO,
